Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money
"""baggage customer service is a joke""",No Aircraft,Couple Leisure,Economy Class,Malaga to Boston via London,May 2024,2,2,1,2,1,2
"""Worst business class ever""",A380,Couple Leisure,Business Class,Milan Linate to Miami via London Heathrow,April 2024,1,2,3,2,2,1
"""replicating the likes of Ryanair""",A320,Couple Leisure,Economy Class,Catania to Gatwick,May 2024,2,1,1,No rating,3,1
"""declined to offer compensation""",No Aircraft,Solo Leisure,Economy Class,London to Hannover,April 2024,3,3,No rating,No rating,1,1
"""onboard like discount carriers""",A319 / A320,Solo Leisure,Economy Class,Manchester to Copenhagen via London,April 2024,3,3,2,No rating,4,4
"""Never using them again""",No Aircraft,Solo Leisure,Economy Class,London to Valencia,April 2024,1,1,No rating,No rating,1,1
"""undiscerning and insincere compensation""",A380,Business,Economy Class,Singapore to London,April 2024,3,3,3,1,1,1
"""mock and insult your passengers""",A320,Business,Economy Class,Madrid to London Heathrow,April 2024,3,1,1,No rating,2,1
"""lost my luggage on both flights""",A350,Solo Leisure,Economy Class,Austin to London Heathrow,April 2024,3,2,1,No rating,1,1
"""the worst experience""",No Aircraft,Couple Leisure,Premium Economy,Zurich to Phoenix via Heathrow,February 2024,2,1,1,2,1,1
"""The flights were okay""",A319 / E190,Couple Leisure,Economy Class,Rotterdam to London City,March 2024,3,3,3,No rating,3,2
“entire experience has been stressful”,No Aircraft,Solo Leisure,Premium Economy,Kansas City to Dublin via Heathrow,April 2024,2,3,No rating,No rating,3,1
"""whole experience was awful""",No Aircraft,Family Leisure,Economy Class,Tenerife to London,January 2024,No rating,No rating,No rating,No rating,1,1
“This is true service”,A340,Business,Business Class,Lisbon to San Diego,March 2024,3,4,3,4,5,4
"""Flight attendants welcoming""",Boeing 787,Business,Business Class,London Heathrow to Mumbai,March 2024,3,5,3,4,4,3
"""the service was appalling""",Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,March 2024,3,1,1,2,2,1
"""service was slow and unfriendly""",Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,March 2024,5,1,1,5,5,3
"""a really lovely flight""",A350,Solo Leisure,Business Class,London Heathrow to São Paulo,March 2024,4,4,5,5,4,4
"""travelling with British Airways so stressful""",No Aircraft,Couple Leisure,Economy Class,London Heathrow to Nice,March 2024,4,3,No rating,No rating,2,1
“didn't find the crew particularly welcoming”,Boeing 777,Business,Business Class,London to Tokyo,March 2024,5,2,5,5,3,4
"""I would say disappointing""",A320,Business,Economy Class,Lisbon to London,March 2024,4,3,No rating,No rating,1,3
"""Exceptional flight""",Boeing 777,Couple Leisure,Business Class,London to Delhi,February 2024,5,5,5,5,5,5
"""Cabin crew attentive and bubbly""",A320,Couple Leisure,Economy Class,London to Milan,March 2024,5,5,5,No rating,4,5
“a terrible and unnecessary experience”,No Aircraft,Couple Leisure,Economy Class,Madrid to London Heathrow,March 2024,3,3,No rating,No rating,3,2
"""stick to their cabin bag size limit""",A320,Solo Leisure,Economy Class,London Heathrow to Toulouse,March 2024,4,4,No rating,No rating,3,3
"""crew were attentive, friendly""",Boeing 787-8 /777-200 / A320-200,Family Leisure,Economy Class,Montreal to Venice via London Heathrow,March 2024,4,5,5,4,3,4
"""Utterly outrageous""",A321,Business,Business Class,Paphos to London,March 2024,2,1,2,1,1,1
"""They have a long way to go""",Boeing 777-300,Business,Business Class,London to Houston,March 2024,1,3,3,2,1,1
"""FA's were friendly""",A320,Solo Leisure,Business Class,London Heathrow to Brussels,March 2024,2,4,3,No rating,3,3
"""Far from pleasant experience""",Boeing 777,Solo Leisure,Business Class,Barbados to London heathrow,March 2024,3,3,2,2,1,2
"""cancelled our return flight""",No Aircraft,Family Leisure,Economy Class,Toronto to Mumbai via London,February 2024,2,1,2,No rating,1,1
"""KLM is definitely a league over BA""",No Aircraft,Family Leisure,Economy Class,Copenhagen to Port of Spain via London,February 2024,3,4,1,No rating,2,5
"""Service extremely inattentive""",Boeing 777-300ER,Solo Leisure,First Class,Los Angeles to London,March 2024,2,1,1,No rating,3,1
"""worst business class experience""",Boeing 777-300,Business,Business Class,Singapore to Sydney,March 2024,1,1,2,2,3,2
"""it's truly awful for short-haul""",No Aircraft,Business,Business Class,Cyprus to London,February 2024,1,3,No rating,1,3,1
"""never be flying with BA again""",No Aircraft,Solo Leisure,Economy Class,Singapore to Auckland via Sydney,March 2024,2,3,3,3,1,1
"""it was extremely underwhelming""",Boeing 787,Couple Leisure,Business Class,London Heathrow to Mexico City,March 2024,2,2,1,2,2,1
"""an excellent experience""",A319,Solo Leisure,Business Class,Heathrow to Oslo,February 2024,4,5,5,No rating,5,5
"""they refused to fly me back!",No Aircraft,Solo Leisure,Economy Class,Sydney to Porto via Singapore / London,June 2023,No rating,No rating,No rating,No rating,No rating,1
"""Poor from start to finish""",A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,February 2024,1,3,1,No rating,2,3
“customer service non existent”,A320,Solo Leisure,Premium Economy,Madrid to London via Buenos Aires,February 2024,1,3,No rating,No rating,1,1
"""no better than the worst of the low cost""",No Aircraft,Couple Leisure,Economy Class,Pisa to London Heathrow,September 2023,No rating,No rating,No rating,No rating,No rating,1
"""could not have been better""",A320,Couple Leisure,Business Class,Malaga to London Heathrow,February 2024,5,5,5,No rating,4,4
"""Never again""",A350,Couple Leisure,Economy Class,Phoenix to Lisbon via London,February 2024,1,5,3,3,1,1
"""Is this how low BA has fallen?""",A320,Solo Leisure,Economy Class,London to Istanbul,February 2024,3,1,1,No rating,2,2
“It was a terrible experience”,Boeing 777,Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",January 2024,3,5,3,3,4,2
"""all needs a serious rework""",A380,Solo Leisure,First Class,London to San Francisco,November 2023,1,4,1,No rating,4,1
"""flights they have not actually provided""",No Aircraft,Couple Leisure,Economy Class,London Heathrow to Casablanca,February 2024,No rating,No rating,No rating,No rating,1,1
“meticulous attention to detail”,No Aircraft,Family Leisure,Premium Economy,London Heathrow to Glasgow,January 2024,4,3,No rating,No rating,5,4
“they have ignored every communication”,No Aircraft,Couple Leisure,Economy Class,London Heathrow to Berlin,October 2023,1,1,No rating,No rating,1,1
"""fabulous cabin crew""",A380-800,Couple Leisure,Business Class,London to Miami,February 2024,3,4,4,3,2,3
"""no great expectations""",No Aircraft,Solo Leisure,Business Class,Athens to London,December 2023,3,5,5,No rating,4,4
"""actively try and split families up""",Boeing 777-200,Family Leisure,Premium Economy,London Gatwick to Cancun,January 2024,4,4,4,4,1,4
"""my cabin luggage was taken""",No Aircraft,Business,Economy Class,London to Warsaw,January 2024,3,3,3,2,1,3
“appalling service”,No Aircraft,Family Leisure,Business Class,London Heathrow to Miami,December 2023,2,1,2,2,3,2
“Worst service ever”,No Aircraft,Solo Leisure,Economy Class,Boston to Düsseldorf via London,January 2024,1,2,1,1,1,1
"""unprofessional attitude of the pilots""",A350,Business,Economy Class,Sao Paulo to London Heathrow,January 2024,3,4,3,3,3,3
“Next time it will be Jet2”,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,January 2024,1,4,1,No rating,3,4
“become the Ryanair of long-haul travel”,No Aircraft,Family Leisure,Economy Class,London to Hong Kong,January 2024,1,3,1,1,1,2
“They never help us”,No Aircraft,Family Leisure,Business Class,Dusseldorf (DUS) to Miami (MIA),January 2024,1,1,No rating,No rating,1,1
“uncomfortable seat and disgusting food”,No Aircraft,Family Leisure,Business Class,Cairo to London Heathrow,January 2024,1,1,1,No rating,1,1
"""Zero customer service""",No Aircraft,Family Leisure,Economy Class,Dublin  to London Heathrow,January 2024,3,3,No rating,No rating,1,3
"""baggage arrival nearly took 1.5 hours""",No Aircraft,Business,Economy Class,Glasgow to London,January 2024,3,4,No rating,No rating,4,3
"""Overall very satisfied""",A350-1000,Solo Leisure,Economy Class,Vancouver to London,January 2024,4,5,3,4,5,5
"""airline is a total disgrace""",A320,Business,Business Class,Heathrow to Madrid,October 2023,1,1,1,1,1,1
"""we were pleased with the service""",Boeing 777 -200,Couple Leisure,Business Class,London to New York,November 2023,5,5,5,5,5,4
"""Gate agent was extremely rude""",No Aircraft,Family Leisure,Economy Class,Rome to London,January 2024,4,5,4,No rating,1,2
"""incredibly heartless and incompetent company""",No Aircraft,Family Leisure,Business Class,Gatwick to Geneva,December 2023,2,1,1,1,1,1
"""their service was hit-and-miss""",A320,Solo Leisure,Business Class,Istanbul to London Heathrow,December 2023,1,4,5,1,2,4
""" Worse than a low-cost carrier""",A320,Solo Leisure,Economy Class,London Heathrow to Istanbul,December 2023,3,2,1,1,5,2
"""Very Poor Business class product""",Boeing 777,Business,Business Class,Gatwick to St Lucia,December 2023,1,5,2,2,1,2
“if GF - take your own food”,Boeing 777,Couple Leisure,Business Class,Sydney to London Heathrow,December 2023,5,3,1,3,3,3
“pathetic business class product”,Boeing 777,Business,Business Class,Lisbon to Houston via London Heathrow,November 2023,1,2,4,1,3,1
“Staff look tired and overworked”,A350,Solo Leisure,Premium Economy,Vancouver to London Heathrow,December 2023,4,3,2,5,5,2
“I couldn’t fault them”,A329,Family Leisure,Business Class,London Heathrow to Stockholm,December 2023,4,5,5,No rating,5,5
“incompetence in customer service”,No Aircraft,Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow,December 2023,1,1,No rating,No rating,1,1
“The most ridiculous thing I've heard”,No Aircraft,Family Leisure,Premium Economy,Cyprus to New York,December 2023,No rating,No rating,No rating,No rating,1,1
"""one of the most disgusting onboard meals""",A321,Solo Leisure,Business Class,Gran Canaria  to London Gatwick,December 2023,3,4,1,No rating,3,5
“Does BA pay experts to design these breakfasts”,A320/Boeing 777,Couple Leisure,Business Class,Belfast City to Atlanta via London Heathrow,November 2023,4,5,1,3,5,5
"""business class seats were abysmal""",Boeing 787-8,Business,Business Class,London to Portland,December 2023,3,3,4,3,3,2
"""Worst service/airline ever""",No Aircraft,Solo Leisure,Economy Class,London to Frankfurt,June 2023,1,No rating,No rating,No rating,1,1
“Much better experience this time around”,A350,Solo Leisure,Business Class,Cape Town to London Heathrow,December 2023,5,4,5,5,5,4
"“our compensation rights""",No Aircraft,Couple Leisure,Business Class,Miami to Manchester via Heathrow,December 2023,1,3,2,3,1,2
"""A380's are showing their age""",A380,Solo Leisure,Economy Class,Johannesburg to London,December 2023,2,4,2,2,4,3
"""Service was fantastic""",Boeing 777,Solo Leisure,Economy Class,London Heathrow to Singapore,December 2023,3,5,4,4,4,5
"""it was a very nice flight""",A320,Solo Leisure,Business Class,Gatwick to Las Palmas,December 2023,3,4,5,No rating,3,5
"""onboard service was efficient""",A319,Couple Leisure,Economy Class,London Heathrow to Geneva,December 2023,4,5,5,No rating,5,5
“Lots of stress”,No Aircraft,Solo Leisure,Economy Class,Madrid to San Francisco via London Heathrow,November 2023,5,5,5,4,1,1
"""did not offer a wheelchair""",No Aircraft,Couple Leisure,Economy Class,Lisbon to London Heathrow,November 2023,1,1,No rating,No rating,1,1
“Seat was fine but product ageing”,A380,Couple Leisure,Business Class,Miami to London Heathrow,November 2023,4,3,4,4,4,3
"""such a terrible customer experience""",No Aircraft,Family Leisure,Economy Class,Palma de Mallorca to Gatwick,December 2023,1,1,No rating,No rating,1,1
"""I was pleasantly surprised""",Boeing 787-9,Solo Leisure,Economy Class,London to Johannesburg,November 2023,2,3,3,1,4,3
"""Buckle up, folks; this one's a rollercoaster""",No Aircraft,Family Leisure,Economy Class,Zürich to Tokyo Haneda via London,July 2023,1,1,1,1,1,1
"""cabin crew excellent""",A380,Couple Leisure,First Class,London to Miami,November 2023,5,5,5,5,4,4
"""Service level far worse then Ryanair""",No Aircraft,Couple Leisure,Economy Class,London to Stuttgart,November 2023,1,1,No rating,No rating,1,1
"""do not upgrade members based on status""",A320,Business,Economy Class,Brussels to London,November 2023,2,3,1,2,1,2
"""Flight was smooth and quick""",A320,Couple Leisure,Business Class,London Heathrow to Dublin,November 2023,3,3,4,No rating,4,3
"""Absolutely hopeless airline""",No Aircraft,Couple Leisure,Economy Class,London to Dublin,December 2022,3,3,No rating,No rating,1,1
"""Customer Service is non existent""",No Aircraft,Couple Leisure,Economy Class,London to Lisbon,November 2023,1,1,1,1,1,1
"""I can’t imagine a worst airline""",A320,Solo Leisure,Economy Class,Bucharest to Manchester via London,September 2023,1,1,1,1,1,1
"""sufficient leg and arm room""",Boeing 777-300,Couple Leisure,Premium Economy,Manchester to Cape Town via London,November 2023,5,5,4,4,4,4
“crew were polite”,A320,Solo Leisure,Economy Class,Seville to London Gatwick,November 2023,3,3,3,No rating,3,3
"""Angry, disappointed, and unsatisfied""",Boeing 777,Family Leisure,Economy Class,London Heatrow to Atlanta,November 2023,4,5,4,4,3,5
"""BA now stands for Basic Airways""",No Aircraft,Couple Leisure,Economy Class,Gatwick to Antalya,October 2023,3,3,1,1,3,1
"""A totally unremarkable flight""",A320,Couple Leisure,Business Class,Dublin to London Heathrow,November 2023,3,3,No rating,No rating,4,3
“BA clearly does not care”,No Aircraft,Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,October 2023,3,3,3,3,1,1
"""reflect a downward trend of the airline""",A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2023,3,1,1,No rating,3,2
"""One of my better flights""",No Aircraft,Couple Leisure,Economy Class,London to Philadelphia,October 2023,4,5,4,3,5,5
"""I would still recommend BA""",A321 neo,Business,Economy Class,London Heathrow to Cairo,October 2023,3,5,3,No rating,5,2
"""the worst experience ever""",No Aircraft,Couple Leisure,Economy Class,Seattle to Porto via Heathrow,October 2023,2,3,3,3,1,1
"""an exceptional crew member""",A320,Couple Leisure,Economy Class,Malta to London Gatwick,October 2023,4,5,3,No rating,4,4
"""even Ryanair have more space""",No Aircraft,Solo Leisure,Economy Class,London to Amsterdam,October 2023,1,3,No rating,No rating,2,1
"""in-flight service is usually weak""",A380-800,Solo Leisure,Economy Class,San Francisco to London,October 2023,3,2,2,3,2,3
"""BA customer service is a disgrace""",No Aircraft,Solo Leisure,Business Class,İstanbul to London,October 2023,2,1,1,1,2,1
"""little concern for customer service""",No Aircraft,Couple Leisure,Economy Class,London to Austin,October 2023,1,1,1,5,1,1
"""gave up being a full-service airline""",A320,Solo Leisure,Economy Class,Geneva to London Heathrow,October 2023,1,2,1,No rating,1,2
“I hate British Airways!”,No Aircraft,Couple Leisure,Economy Class,Istanbul via London,October 2023,1,3,3,4,1,1
"""2½ hours before the bags finally arrived""",A320,Couple Leisure,Business Class,Porto to London,September 2023,4,5,4,No rating,1,4
"""left on your own and nobody cares""",A320-232,Solo Leisure,Economy Class,London Heathrow to Geneva,October 2023,2,4,1,No rating,1,4
"""Club Europe is simply a joke""",A320,Business,Business Class,London to Istanbul,October 2023,3,4,1,1,3,2
"""Very second rate shoddy airline""",No Aircraft,Couple Leisure,Economy Class,London Gatwick to Punta Cana,October 2023,3,3,3,2,2,2
